10000 100 10000 1
4309 1 4
5935 1 3
2024 1 5
2152 5 5
1279 2 2
4398 5 1
8902 4 1
6506 4 4
6874 2 1
3017 1 4
418 4 5
3599 2 1
6422 1 4
8869 4 4
5775 5 5
7168 4 5
492 3 3
4182 2 1
2987 4 3
1909 1 5
3316 2 4
4358 4 5
7811 2 2
8123 1 1
1912 2 1
1166 2 4
8805 1 2
6654 2 4
7997 5 1
1424 2 5
1279 3 3
6187 2 4
6743 5 3
9999 3 4
5286 2 4
6080 3 1
4549 2 1
7627 1 5
5720 2 3
6521 2 3
2836 2 4
3588 1 2
4052 2 2
2032 5 5
3668 1 4
7968 1 2
7490 4 3
9444 2 5
5121 2 4
6341 3 1
8181 1 4
1875 5 2
6208 3 2
7373 2 5
6308 4 4
5424 2 2
21 2 2
1361 4 2
1079 4 2
5859 3 3
7667 5 4
150 1 2
5892 1 4
2977 1 2
345 3 2
5674 4 5
4304 1 3
9995 5 2
6724 3 4
1882 1 5
2227 4 5
4024 2 5
5533 4 4
1203 4 2
4550 1 2
633 5 5
6092 3 4
3991 1 1
5612 2 3
3587 4 3
8032 5 3
730 4 3
953 3 3
8315 3 5
3904 5 2
5044 4 3
3767 5 5
5894 5 1
6926 4 1
63 1 4
6542 5 2
7223 1 3
7294 2 3
297 1 2
6498 5 2
6113 3 1
7296 2 2
2834 1 5
6990 1 1
8413 2 1
5537 2 5
5573 2 4
9348 2 2
2566 2 2
9877 2 3
4626 5 1
5352 4 2
2636 5 5
3159 3 3
4183 4 2
5124 1 2
263 4 5
6470 5 3
5471 4 5
4923 5 3
8244 2 4
7092 4 3
4509 1 2
7487 1 3
8833 4 4
4029 3 2
9813 3 2
5479 3 2
2140 4 5
9639 2 3
9851 4 1
9557 2 2
4076 2 1
4529 1 4
180 4 3
7945 5 5
7595 5 2
3522 3 1
3415 3 2
996 4 1
350 2 4
337 2 3
3185 5 1
4513 1 3
7451 1 3
5078 1 4
314 3 2
3101 1 2
6137 3 3
5822 2 1
5572 1 4
310 1 4
8061 4 4
4692 2 1
8725 5 1
8611 4 1
5835 2 3
687 3 2
5182 4 3
4835 5 5
6855 3 3
254 5 5
5271 1 4
5422 5 3
1701 5 2
5016 1 1
563 2 1
5351 2 1
8538 3 5
4183 2 1
1872 3 5
7104 1 4
8163 1 5
9505 2 3
2733 5 5
8249 4 5
2867 3 5
2275 5 3
1435 2 2
2612 3 1
7876 2 1
3464 5 5
2022 2 5
7738 1 1
2324 4 2
6930 1 2
716 4 3
5674 2 1
7695 1 1
4618 5 3
789 5 2
1250 3 3
19 5 4
3466 1 5
2348 3 2
3530 5 3
4313 5 5
5250 5 2
1352 1 2
